NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Tucker County, West Virginia",6972.0,47.7,47.0,48.4,6844.0,16.0,0.0,42.0,34.0,40533.0,22321.0,1013.0,3304.0,3304.0,3052.0,252.0,104000.0,525.0,3010.0,2336.0,369.0,293.0,64.0,12.0,3019.0,7.0,6800.0,3368.0,194.0,3010.0,2034.0,976.0,54,093,2015-12-31
"Tyler County, West Virginia",9033.0,46.2,45.6,46.9,8919.0,15.0,5.0,0.0,58.0,38854.0,21018.0,1765.0,3700.0,3700.0,3296.0,404.0,87100.0,556.0,3616.0,1374.0,468.0,229.0,24.0,19.0,3242.0,5.0,8959.0,4441.0,251.0,3616.0,2403.0,1213.0,54,095,2015-12-31
"Roane County, West Virginia",14636.0,44.2,43.2,45.0,14334.0,3.0,18.0,19.0,133.0,31813.0,18957.0,3165.0,5367.0,5367.0,4892.0,475.0,88900.0,456.0,5872.0,1507.0,857.0,258.0,17.0,52.0,4752.0,0.0,14542.0,7180.0,489.0,5872.0,3825.0,2047.0,54,087,2015-12-31
"Gilmer County, West Virginia",8644.0,38.4,37.4,41.2,7050.0,942.0,53.0,28.0,335.0,37536.0,17115.0,1781.0,3080.0,3080.0,2791.0,289.0,78700.0,561.0,2744.0,715.0,600.0,275.0,56.0,80.0,2716.0,3.0,7064.0,3654.0,185.0,2744.0,1725.0,1019.0,54,021,2015-12-31
"Mason County, West Virginia",27177.0,43.0,42.3,44.1,26597.0,197.0,0.0,16.0,267.0,36448.0,19694.0,5075.0,10167.0,10159.0,9116.0,1043.0,79600.0,504.0,10838.0,2114.0,1529.0,395.0,93.0,2.0,8996.0,19.0,26500.0,13092.0,936.0,10838.0,7244.0,3594.0,54,053,2015-12-31
"Monroe County, West Virginia",13525.0,46.6,45.4,48.3,13208.0,94.0,47.0,0.0,140.0,36918.0,20678.0,2252.0,5776.0,5767.0,5348.0,419.0,101600.0,575.0,5822.0,1738.0,865.0,371.0,24.0,57.0,5164.0,0.0,13407.0,6643.0,452.0,5822.0,4124.0,1698.0,54,063,2015-12-31
"Pleasants County, West Virginia",7636.0,43.6,42.0,45.6,7418.0,21.0,6.0,0.0,82.0,44288.0,23291.0,1260.0,3175.0,3175.0,2915.0,260.0,100800.0,629.0,2893.0,489.0,405.0,307.0,0.0,7.0,2876.0,9.0,7016.0,3493.0,245.0,2893.0,2090.0,803.0,54,073,2015-12-31
"Cabell County, West Virginia",96824.0,38.5,36.9,39.9,88177.0,4665.0,216.0,1152.0,1271.0,38344.0,23908.0,20110.0,43086.0,43049.0,40103.0,2946.0,112800.0,653.0,39973.0,6403.0,9584.0,5237.0,1596.0,1019.0,39073.0,426.0,95396.0,46305.0,3239.0,39973.0,23048.0,16925.0,54,011,2015-12-31
"Jefferson County, West Virginia",55214.0,39.7,39.9,39.3,48722.0,3846.0,67.0,896.0,2884.0,66677.0,30912.0,6222.0,28888.0,28851.0,26418.0,2433.0,207300.0,887.0,20331.0,2077.0,6758.0,2911.0,408.0,488.0,25842.0,644.0,54948.0,26955.0,1992.0,20331.0,14353.0,5978.0,54,037,2015-12-31
"Logan County, West Virginia",35760.0,42.6,41.5,44.1,34489.0,784.0,89.0,130.0,316.0,36763.0,20477.0,6902.0,13197.0,13197.0,11765.0,1432.0,82100.0,562.0,14043.0,2686.0,1421.0,557.0,88.0,23.0,11100.0,0.0,35188.0,17231.0,1289.0,14043.0,9860.0,4183.0,54,045,2015-12-31
